normalized_reviews,predicted_rating
"['excellent', 'product', 'large', 'quality', 'screen', 'phone', 'also', 'pretty', 'durable', 'drop', 'mine', 'several', 'time', 'without', 'scratch', 'dent', 'however', 'might', 'good', 'fortune', 'pen', 'useful', 'take', 'note', 'meet', 'effective', 'search', 'methods']",1
"['happy', 'buy', 'note', 'reception', 'horrible', 'find', 'lot', 'claim', 'reception', 'ecpecially', 'bad', 'sell', 'month', 'sad', 'pay', 'lot', 'money', 'samsung', 'please', 'check', 'phone', 'sale']",0
"['choose', 'instead', 'phone', 'big', 'mistake', 'battery', 'use', 'better', 'old', 'galaxy', 'note', 'many', 'apps', 'support', 'samsung', 'bbc', 'player', 'stream', 'program', 'bbc', 'blame', 'samsung']",0
"['think', 'smart', 'line', 'samsung', 'note', 'almost', 'everything', 'word', 'excel', 'powerpoint', 'plan', 'activities', 'schedule', 'appointments', 'even', 'plan', 'vacation']",1
"['galaxy', 'note', 'another', 'gret', 'product', 'samsung', 'havent', 'disappionted', 'yet', 'note', 'greta', 'devices', 'like', 'note', 'new', 'gadget', 'lock', 'unlock', 'youre', 'phone', 'fingerprint', 'easy', 'quick']",1
"['mobile', 'mobile', 'call', 'laptop', 'nothing', 'miss', 'device', 'performance', 'wow', 'screen', 'big', 'brightness', 'wow', 'really', 'robust', 'durable', 'battery', 'lifetime', 'days', 'great', 'performance', 'point', 'view', 'also']",1
"['almost', 'perfect', 'phone', 'phone', 'everything', 'say', 'things', 'samsung', 'could', 'fix', 'phone', 'get', 'later', 'warn', 'long', 'post', 'might', 'bore', 'screen', 'best', 'screen', 'ever', 'see', 'phone']",1
"['like', 'dis', 'phone', 'like', 'pen', 'wish', 'templates', 'snotes', 'least', 'option', 'make']",0
"['one', 'thing', 'bother', 'camera', 'api', 'battery', 'could', 'bite', 'better', 'screen', 'fantastic', 'camera', 'picture', 'quality', 'great', 'signal', 'pretty', 'solid', 'speed', 'beeing', 'good']",1
"['use', 'phone', 'daily', 'driver', 'months', 'obviously', 'long', 'time', 'fast', 'pace', 'mobile', 'phone', 'world', 'however', 'many', 'experience', 'extensive', 'use', 'product']",1
"['note', 'months', 'simply', 'flawless']",1
"['phone', 'amaze', 'currently', 'use', 'months', 'could', 'happier', 'battery', 'life', 'awesome', 'great', 'screen', 'pen', 'come', 'handy', 'need', 'far', 'crash', 'bug']",1
"['samsung', 'galaxy', 'note', 'ddr', 'ram', 'internal', 'storage', 'ghz', 'quad', 'core', 'processor', 'power', 'consistently', 'love', 'galaxy', 'note', 'display', 'awesomeness', 'although', 'battery', 'last', 'exactly', 'half', 'day', 'heavy', 'use', 'still', 'good', 'smart', 'phone']",1
"['patiently', 'wait', 'since', 'sii', 'without', 'edge', 'still', 'best', 'samung', 'available', 'awesome', 'design', 'elegant', 'choose', 'model', 'gold']",1
"['use', 'phone', 'days', 'already', 'really', 'like', 'size', 'camera', 'stylus', 'apps', 'work', 'note', 'everything', 'polish', 'fingerprint', 'scanner', 'miss', 'hit', 'screen', 'like', 'colour', 'screen', 'low', 'brightness', 'high', 'resolution']",1
"['midst', 'research', 'next', 'smartphone', 'find', 'could', 'upgrade', 'verizon', 'edge', 'plan', 'months', 'early', 'proud', 'owner', 'galaxy', 'terrible', 'hurry', 'galaxy', 'announce']",1
"['nice', 'big', 'phone', 'huge', 'hand', 'finger', 'ideal', 'fast', 'texting', 'good', 'round', 'phone', 'battery', 'strength', 'could', 'better', 'best', 'phone', 'beat', 'sony', 'anytime', 'wait', 'note', 'buy', 'phone', 'get', 'contract', 'disappionted']",1
"['note', 'appal', 'keyboard', 'shoddy', 'autocorrect', 'work', 'let', 'type', 'want', 'operate', 'system', 'omg', 'rubish']",0
"['amaze', 'phone', 'although', 'could', 'cheaper', 'processor', 'could', 'faster', 'part', 'great', 'phone']",1
"['phone', 'heat', 'battery', 'drain', 'fast', 'start', 'use', 'last', 'january']",0
"['simply', 'incredible', 'phone', 'learn', 'find', 'powerfully', 'fast', 'great', 'camera', 'versatile', 'pen', 'gimmick', 'really', 'add', 'value', 'use', 'downside', 'camera', 'protrude', 'careful', 'case', 'drop', 'get', 'good', 'case']",1
"['really', 'great', 'device', 'problem', 'software', 'else', 'everything', 'excellent', 'performance', 'issue', 'great', 'camera', 'good', 'build', 'quality', 'samsung', 'push', 'galaxy', 'software', 'note', 'great', 'let', 'see', 'next', 'come', 'note', 'eagerly', 'wait', 'note']",1
"['nothing', 'come', 'close', 'utility', 'phone', 'love', 'multitasking', 'feature', 'phone', 'absolutely', 'adore', 'pen', 'make', 'life', 'much', 'easier', 'longer', 'carry', 'small', 'notepad', 'whenever', 'work']",1
"['many', 'android', 'phone', 'one', 'iphone', 'beyond', 'best', 'phone', 'ever', 'worth', 'money', 'att', 'version', 'wait', 'years', 'update', 'kitkat', 'pretty', 'good', 'pen', 'handy']",1
"['stellar', 'performance', 'good', 'build', 'quality', 'respectable', 'battery', 'still', 'kitkat', 'know', 'device', 'go', 'update', 'lollipop', 'sometimes', 'fingerprint', 'work', 'take', 'much', 'try', 'unlock', 'screen']",0
"['great', 'phone', 'obvious', 'improvements', 'note', 'never', 'use', 'phblets', 'heavily', 'phone', 'successfully', 'drag', 'use', 'one', 'guess', 'fail']",1
"['high', 'end', 'smartphone', 'great', 'feature', 'value', 'money', 'phone', 'deliver', 'performance', 'assume', 'consider', 'precede', 'model', 'note', 'sure', 'phone', 'note', 'disappoint', 'anyone', 'look', 'complete', 'package']",1
"['phone', 'fill', 'plenty', 'feature', 'two', 'weeks', 'get', 'note', 'still', 'discover', 'new', 'feature', 'new', 'function', 'awesome', 'apart', 'know', 'feature', 'spen', 'photo', 'note', 'fast', 'charge', 'useful', 'hide', 'ones']",1
"['start', 'opinion', 'good', 'basic', 'phone', 'easy', 'download', 'applications', 'easy', 'use', 'phone', 'three', 'months', 'feel', 'things', 'could', 'improve', 'battery', 'actually', 'last', 'long', 'phone', 'keep', 'freeze']",1
"['pen', 'amaze', 'screen', 'display', 'battery', 'lats', 'long', 'charge', 'really', 'quickly', 'worth']",0
"['one', 'best', 'phone', 'ever', 'make', 'exynos', 'skip', 'beat', 'gargantuan', 'display', 'love', 'feature', 'private', 'mode', 'etc', 'make', 'even', 'likeable', 'fanboy', 'either', 'ios', 'android', 'swap', 'quite', 'frequently', 'two', 'since', 'last', 'years']",1
"['everything', 'well', 'cheap', 'worth']",1
"['everything', 'well', 'cheap', 'worth']",1
"['sony', 'xperia', 'trade', 'galaxy', 'get', 'self', 'note', 'truly', 'happy', 'phone', 'battery', 'last', 'days', 'without', 'power', 'save', 'mode', 'heavy', 'user', 'think', 'last', 'one', 'day', 'even', 'day', 'overwhelm', 'size']",1
"['great', 'round', 'phone', 'awesome', 'feature', 'ram', 'multitasking', 'feature', 'work', 'seamlessly', 'pen', 'one', 'kind', 'make', 'phone', 'stand', 'market', 'simply', 'best']",1
"['best', 'best', 'phablet', 'every', 'thing', 'need', 'phablet', 'screen', 'stylus', 'pen', 'note', 'app', 'beast', 'camera', 'fps', 'optical', 'image', 'stabilization', 'big', 'battery', 'front', 'camera', 'wide', 'pic', 'fast', 'charge', 'lot', 'things', 'need']",1
"['note', 'feature', 'specs', 'look', 'love']",1
"['best', 'phone', 'ever', 'use', 'beat', 'iphone', 'far', 'great', 'phone', 'great', 'screen', 'build', 'quality', 'battery', 'life', 'game', 'performance', 'perfect', 'phone', 'reccomend', 'everyone', 'get', 'wrong']",1
"['go', 'note', 'big', 'mistake', 'back', 'track', 'note', 'great', 'phone', 'fast', 'screen', 'size', 'perfect', 'chef', 'take', 'lot', 'note', 'remember', 'recipes', 'etc', 'switch', 'phone', 'till', 'note']",1
"['crash', 'lag', 'get', 'month', 'ago', 'barely', 'file', 'phone', 'disappointment']",0
"['samsung', 'galaxy', 'note', 'flagship', 'samsung', 'phone', 'come', 'number', 'phone', 'note', 'fall', 'sub', 'smartphone', 'catagory', 'phablet', 'phone', 'tablet', 'screen', 'size', 'range', 'feature']",1
"['phone', 'amaze', 'phone', 'amaze', 'screen', 'switch', 'first', 'time', 'screen', 'blow', 'away', 'phone', 'lot', 'feature', 'phone', 'multitasking', 'take', 'advantage', 'big', 'screen', 'example', 'could', 'watch', 'youtube', 'videos', 'reply', 'email']",1
"['phone', 'amaze', 'phone', 'amaze', 'screen', 'switch', 'first', 'time', 'screen', 'blow', 'away', 'phone', 'lot', 'feature', 'phone', 'multitasking', 'take', 'advantage', 'big', 'screen', 'example', 'could', 'watch', 'youtube', 'videos', 'reply', 'email']",1
"['build', 'quality', 'great', 'better', 'devices', 'term', 'build', 'iphone', 'reception', 'fine', 'call', 'quality', 'great', 'internet', 'fast', 'browsers', 'great', 'multimedia', 'speaker', 'nice', 'others', 'scoreboard']",1
"['ive', 'use', 'since', 'month', 'satisfy', 'build', 'quality', 'first', 'time', 'display', 'amaze', 'worth', 'spend', 'money', 'regular', 'buyer', 'samsung', 'galaxy', 'series', 'skip', 'galaxy', 'ugly', 'look', 'shift', 'htc', 'beautiful', 'performer']",1
"['love', 'phone', 'note', 'everything', 'note', 'much', 'display', 'clear', 'lifelike', 'like', 'look', 'window', 'rather', 'look', 'screen', 'camera', 'better', 'note']",1
"['switch', 'cell', 'providers', 'decide', 'get', 'samsung', 'galaxy', 'note', 'note', 'prior', 'note', 'lot', 'like', 'note', 'except', 'display', 'much', 'better', 'camera', 'take', 'better', 'picture', 'think', 'new', 'look', 'better', 'pen', 'also', 'function', 'better', 'use']",1
"['ive', 'note', 'years', 'love', 'recently', 'upgrade', 'note', 'first', 'turn', 'note', 'blow', 'away', 'display', 'truly', 'stun', 'still', 'work', 'way', 'phone', 'feature', 'far', 'love', 'pen', 'enhancements', 'fast', 'charge', 'feature']",1
"['awesome', 'phone', 'note', 'note', 'talk', 'speed', 'didnt', 'see', 'much', 'difference', 'hardware', 'big', 'revolution', 'lot', 'point', 'see', 'big', 'differnece', 'battery', 'life', 'ask', 'screen', 'size', 'great', 'feel', 'comfortable', 'hand']",1
"['yet', 'experience', 'flaw', 'phone', 'also', 'professional', 'photographer', 'say', 'camera', 'amaze', 'best', 'camera', 'phone', 'ever', 'love', 'quickly', 'phone', 'charge', 'phone', 'work', 'smoothly', 'even', 'content', 'micro', 'card', 'open', 'without', 'hitch']",1
"['truly', 'amaze', 'everything', 'screen', 'camera', 'build', 'quality', 'top', 'notch', 'monster', 'excel', 'nearly', 'every', 'way', 'except', 'maybe', 'design', 'though', 'great', 'people', 'still', 'unsatisfied', 'tghe', 'screen', 'exceptional', 'hae', 'see', 'believe']",1
"['note', 'beast', 'spec', 'department', 'samsung', 'touchwiz', 'ruin', 'phone', 'phone', 'great', 'camera', 'great', 'battery', 'build', 'quality', 'great', 'back', 'disaster', 'pore']",1
"['mine', 'exynos', 'version', 'awesome', 'phone', 'camera', 'stun', 'beautiful', 'battery', 'drain', 'quite', 'fast', 'thou', 'fast', 'charge', 'really', 'helpful', 'lag', 'touchwiz', 'note', 'quite', 'nice', 'actually']",1
"['start', 'guess', 'build', 'well', 'own', 'previous', 'note', 'confidently', 'say', 'close', 'perfect', 'android', 'phone', 'ever', 'consider', 'non', 'removable', 'battery', 'phone', 'metal', 'frame', 'gorgeous']",1
"['best', 'smartphone', 'ever', 'much', 'still', 'learn', 'far', 'battery', 'great', 'display', 'awesome', 'reception', 'call', 'quality', 'impressive', 'like', 'phone', 'even', 'big', 'screen']",1
"['days', 'beast', 'fall', 'deeply', 'love', 'hope', 'keep', 'daily', 'driver', 'next', 'years', 'good', 'fool', 'friends', 'recommend', 'iphone', 'haha']",1
"['best', 'thing', 'year', 'know', 'wrong', 'people', 'days', 'prefer', 'iphone', 'phone', 'clearly', 'phone', 'king', 'smartphones', 'really', 'enjoy', 'thing', 'iphone', 'thing', 'different']",1
"['amaze', 'phone', 'anything', 'think', 'video', 'mulitscreen', 'new', 'pen', 'feature', 'panoramic', 'selfies', 'best', 'camera', 'feature', 'market', 'one', 'hand', 'mode', 'easy', 'mode', 'seem', 'little', 'overwhelm', 'name']",1
"['perfect', 'phone', 'could', 'find', 'phone', 'ideal', 'samsung', 'hit', 'park', 'one', 'phone', 'look', 'life', 'entirely', 'adaptive', 'experience', 'comparable', 'samsung']",1
"['phone', 'feel', 'good', 'hand', 'fit', 'pocket', 'fine', 'display', 'sharp', 'big', 'improvement', 'note', 'display', 'like', 'camera', 'protrude', 'back', 'phone', 'case', 'might', 'fix', 'problem', 'sure', 'phone', 'go', 'replace', 'note']",1
"['best', 'phone', 'ever', 'would', 'one', 'try', 'compare', 'iphone']",1
"['phone', 'complete', 'beast', 'mind', 'size', 'definitely', 'best', 'phone', 'market', 'pen', 'also', 'extremely', 'useful', 'use', 'many', 'task', 'copy', 'paste', 'well', 'browse', 'web']",1
"['amaze', 'phone', 'ever', 'own', 'research', 'things', 'purchase', 'one', 'exceed', 'expectations', 'battery', 'life', 'great', 'day', 'leave', 'get', 'home', 'work', 'new', 'home', 'construction', 'use', 'lot', 'camera', 'clear', 'crisp', 'color', 'amaze']",1
"['get', 'phone', 'last', 'week', 'wednesday', 'major', 'upgrade', 'motorola', 'photon', 'slider', 'phone', 'prior', 'expect', 'hard', 'time', 'transition', 'touchscreen', 'man', 'wrong', 'battery', 'life', 'ask']",1
"['currently', 'one', 'best', 'phablet', 'pen', 'stylus', 'functionality', 'increase', 'felt', 'good', 'work', 'thank', 'quad', 'core', 'processor', 'ram', 'seem', 'unlikely', 'problem', 'phone', 'hang']",1
"['great', 'phone', 'well', 'build', 'superb', 'superb', 'stylus', 'work', 'great', 'companion', 'overall', 'experience', 'display', 'sharp', 'vividly', 'colourful', 'processor', 'great', 'well', 'overall', 'great', 'phone', 'worth', 'buy']",1
"['samsung', 'one', 'best', 'company', 'days', 'one', 'beat', 'feature', 'company', 'beat']",1
"['love', 'big', 'screen', 'love', 'ease', 'upload', 'custom', 'ringtones', 'picture', 'itunes', 'middle', 'love', 'camera', 'megapixel', 'zoom', 'old', 'mpix', 'iphone', 'never', 'could', 'love', 'fingerprint', 'security', 'hear', 'note', 'mah', 'battery']",1
"['hard', 'choose', 'start', 'design', 'build', 'quality', 'metal', 'make', 'difference', 'note', 'give', 'hate', 'paint', 'side', 'could', 'simply', 'chrome', 'may', 'well', 'plastic', 'gon', 'paint']",0
"['totally', 'dig', 'device', 'especially', 'pen', 'man', 'touchwiz', 'interface', 'super', 'kitschy', 'way', 'screen', 'display', 'downright', 'garish', 'like', 'huge', 'piece', 'functional', 'super', 'sweet', 'candy', 'get', 'sturdy', 'build', 'leatherette', 'back', 'cheesy']",1
"['never', 'fan', 'samsung', 'phablet', 'galaxy', 'note', 'love', 'especially', 'work', 'design', 'field', 'usually', 'take', 'note', 'feature', 'fit', 'entrepeneur', 'freelancers', 'college', 'students', 'need', 'technology', 'saavy', 'find', 'feature', 'useful']",1
"['much', 'improve', 'galaxy', 'note', 'better', 'camera', 'front', 'rare', 'image', 'quality', 'soooo', 'good', 'even', 'turn', 'beauty', 'mode', 'screen', 'quality', 'perfect', 'impressive', 'function', 'go', 'battery', 'ultra', 'power', 'save', 'mode', 'safe', 'life', 'live', 'day', 'without', 'battery', 'charger']",1
"['galaxy', 'note', 'beast', 'phone', 'love', 'call', 'quality', 'clear', 'crisp', 'build', 'phone', 'way', 'better', 'galaxy', 'camera', 'excellent', 'overall', 'excellent', 'phone', 'battery', 'life', 'spectacular', 'best', 'phone', 'far']",1
"['note', 'much', 'enhance', 'phone', 'note', 'great', 'change', 'make', 'especially', 'quality', 'interface', 'touch', 'wiz', 'still', 'lag', 'device', 'still', 'much', 'enhance', 'previous', 'version']",1
"['man', 'phone', 'blow', 'away', 'wait', 'nexus', 'note', 'series', 'best', 'phablet', 'category', 'best', 'qhd', 'display', 'ever', 'see', 'exynos', 'version', 'bite', 'maybe', 'samsung', 'unlock', 'feature', 'android', 'pen', 'every', 'phablet', 'need']",1
"['go', 'balance', 'since', 'iphone', 'fan', 'rat', 'unbox', 'beast', 'first', 'thing', 'notice', 'metal', 'side', 'shin', 'wrap', 'cover', 'take', 'device', 'hand', 'really', 'feel', 'perfect', 'balance', 'premium', 'grip']",1
"['excellent', 'phone', 'best', 'market', 'moment', 'almost', 'like', 'litte', 'display', 'look', 'phone', 'great', 'simply', 'love', 'belive', 'one', 'bestlooking', 'phone']",1
"['average', 'phone', 'awesome', 'good', 'price', 'high', 'compare', 'feature', 'offer', 'nexus', 'good', 'alternative', 'value', 'money', 'look', 'best', 'phone', 'stylus', 'remarkable', 'feature']",1
"['samsung', 'themselevs', 'note', 'awesome', 'awesome', 'phone', 'quality', 'great', 'samsung', 'could', 'really', 'kill', 'would', 'release', 'colrs', 'like', 'say', 'overall', 'best', 'large', 'smartphone', 'market', 'hand']",1
"['note', 'kick', 'bite', 'screen', 'amaze', 'new', 'look', 'great', 'really', 'fast', 'mobil', 'lte', 'run', 'like', 'transformer', 'optimus', 'prime', 'best', 'haf', 'iphone', 'thank', 'day', 'policy', 'turn', 'get', 'note', 'best', 'thing', 'life']",1
"['read', 'review', 'think', 'would', 'post', 'mine', 'like', 'change', 'see', 'might', 'little', 'hard', 'review', 'phone', 'honesty', 'phone', 'improvement', 'fantastic', 'note']",1
"['fantastic', 'phone', 'real', 'powerhouse', 'huge', 'battery', 'make', 'last', 'day', 'long', 'great', 'camera', 'build', 'sturdy', 'build', 'nothing', 'cheap', 'like', 'new', 'iphone', 'display', 'amaze', 'zero', 'complaints', 'dimness', 'nit', 'incredible']",1
"['like', 'design', 'battery', 'suck', 'drain', 'every', 'sec', 'every', 'time', 'use', 'even', 'use', 'speaker', 'loud', 'lag', 'complicate', 'understand', 'fragile', 'great', 'look', 'qaulity', 'satisifed', 'phone', 'hop']",0
"['use', 'phone', 'get', 'impress', 'screen', 'display', 'quality', 'superb', 'pen', 'multi', 'window', 'implementations', 'terrific', 'build', 'quality', 'preserve', 'battery', 'memory', 'card', 'access', 'top', 'notch', 'best', 'around', 'smartphone', 'bar', 'none']",1
"['great', 'ogle', 'use', 'week', 'screen', 'amaze', 'phone', 'super', 'quick', 'wad', 'surprise', 'apps', 'babe', 'slow', 'love', 'metal', 'make', 'phone', 'feel', 'better', 'cheap', 'metal', 'like', 'iphone', 'past']",1
"['thank', 'goodness', 'return', 'policies', 'resolution', 'non', 'issue', 'also', 'pentile', 'display', 'math', 'much', 'give', 'shoot', 'since', 'super', 'amoled', 'screen', 'wrong', 'phone', 'screen', 'barely', 'better']",1
"['new', 'phone', 'note', 'note', 'since', 'point', 'view', 'note', 'note', 'look', 'professional', 'note', 'colorful', 'look', 'like', 'kid', 'toy', 'brief', 'note', 'need', 'upgrade']",1
"['amaze', 'phone', 'big', 'fast', 'goodies', 'metal', 'lether', 'plasticnice', 'one', 'best', 'check', 'phone', 'may', 'like', 'amzing', 'build', 'quality', 'great', 'reception', 'nice', 'call', 'quality', 'nice', 'internet', 'smooth', 'multimedia', 'perfect', 'camera', 'perfect']",1
"['first', 'screen', 'size', 'original', 'note', 'come', 'incher', 'note', 'show', 'inch', 'display', 'note', 'push', 'things', 'inch', 'go', 'logic', 'galaxy', 'note', 'come', 'inch', 'display', 'would', 'see', 'match', 'htc', 'one', 'max', 'pro']",1
"['samsung', 'galaxy', 'note', 'best', 'smarthpone', 'phablet', 'world', 'build', 'quality', 'good', 'superb', 'design', 'qhd', 'super', 'amoled', 'display', 'best', 'world', 'processor', 'best', 'world', 'battery', 'life', 'good', 'camera', 'good']",1
"['build', 'quality', 'nice', 'reception', 'nice', 'call', 'quality', 'nice', 'internet', 'nice', 'fast', 'smooth', 'multimedia', 'perfect', 'camera', 'perfect', 'speed', 'fairly', 'well', 'sometimes', 'bite', 'slow', 'everyday', 'usage', 'nice', 'text', 'input', 'nice', 'display', 'perfect']",1
"['best', 'offer', 'great', 'phone', 'many', 'extra', 'functionalities', 'blaster', 'air', 'view', 'great', 'stylus', 'private', 'mode', 'many', 'great', 'battery', 'survive', 'hardcore', 'use', 'easily']",1
"['perfect', 'design', 'really', 'impressive', 'build', 'quality', 'display', 'good', 'come', 'battery', 'life', 'excellent', 'superb', 'performance', 'proper', 'benchmark', 'champion', 'audio', 'quality', 'excellent', 'camera', 'stellar', 'performer', 'ois', 'work', 'like', 'charm', 'videos', 'best', 'business']",1
"['already', 'find', 'hard', 'wait', 'soooo', 'long', 'phone', 'release', 'pre', 'order', 'amaze', 'phone', 'bronze', 'gold', 'havent', 'pleasure', 'actually', 'see', 'gold', 'model', 'real', 'life', 'yet', 'one', 'want']",1
"['worst', 'expensive', 'worth', 'believe', 'worst']",0
"['use', 'phone', 'since', 'months', 'problem', 'ist', 'best', 'display', 'stun', 'display', 'excellent', 'battery', 'life', 'last', 'easily', 'days', 'superfast', 'excellent', 'camera', 'best', 'smartphone', 'get']",1
"['complete', 'two', 'years', 'note', 'last', 'best', 'note', 'device', 'make', 'samsung', 'consider', 'note', 'disaster', 'handle', 'everything', 'give', 'backup', 'hours', 'moderate', 'usage', 'hang', 'restart', 'seldom', 'last', 'time', 'hang', 'three', 'months', 'back', 'elegant', 'design', 'good', 'primary']",1
"['model', 'worthy', 'deal', 'everyone', 'prefer', 'one', 'plus', 'available', 'awesome', 'much', 'latest', 'years', 'old', 'note', 'better', 'make', 'price', 'note', 'might', 'get', 'sell']",1
['better'],0
"['best', 'phone', 'use', 'till', 'date', 'use', 'note', 'past', 'years', 'flow', 'less', 'performance', 'premium', 'look', 'good', 'battery', 'life']",1
"['buy', 'handset', 'samsung', 'note', 'awesome', 'device', 'good', 'configurations', 'display', 'superb', 'battery', 'backup', 'nice', 'day', 'usage', 'sensors', 'lot', 'feature', 'device', 'say', 'feature', 'one', 'hand', 'say', 'awesome', 'device', 'recommend', 'buy', 'handset']",1
"['one', 'best', 'products', 'samsung']",1
"['poor', 'battery', 'poooorest', 'elsa', 'great', 'phn', 'keep', 'charge', 'time', 'day']",0
"['fantastic', 'smartphone', 'ever', 'lot', 'feature', 'explore']",1
"['enjoy', 'every', 'bite', 'specially', 'pen', 'awesome', 'helpful', 'design']",1
"['hello', 'recently', 'buy', 'product', 'different', 'reseller', 'first', 'come', 'specs', 'must', 'note', 'beat', 'many', 'competitors', 'similar', 'price', 'range', 'min', 'term', 'specs', 'think', 'note', 'far', 'better', 'note', 'even', 'note']",1
"['dont', 'sale', 'useless', 'brand', 'product', 'product', 'useless', 'year', 'purchase', 'note', 'work', 'properly', 'service', 'provider', 'ask', 'repair']",0
"['good', 'device', 'price', 'range', 'launch', 'high', 'price', 'years', 'still', 'great', 'device', 'also', 'marshmallow', 'update', 'run', 'like', 'note', 'get', 'better', 'phone', 'price', 'range', 'use', 'months', 'lag']",1
"['receive', 'thank']",1
"['note', 'excellent', 'phablet', 'ram', 'managment', 'also', 'good', 'game', 'also', 'excellent', 'screen', 'superb', 'brilliant', 'cameras', 'amaze', 'modes', 'powerful', 'processor', 'great', 'speed', 'outstanding', 'battery', 'backup', 'good', 'ram', 'management', 'multitasking']",1
"['nice', 'phone', 'amaze', 'product', 'next', 'month']",1
"['purchase', 'mobile', 'first', 'day', 'itz', 'india', 'launch', 'till', 'lag', 'display', 'superb']",1
"['fully', 'sastify', 'use', 'mobile']",0
"['big', 'surprise', 'come', 'short', 'package', 'really', 'surprise', 'monster', 'one', 'hell', 'phone', 'equip', 'snapdragon', 'chipset', 'tri', 'band', 'lte', 'modem', 'chipset', 'processor', 'feature', 'octa', 'core', 'processor', 'compatible', 'bite', 'architecture', 'give', 'future', 'owners']",1
"['friend', 'receive', 'damage', 'piece', 'claim', 'give', 'new', 'piece', 'money', 'waste', 'please', 'guy', 'buy']",0
"['superb', 'camera', 'quality']",1
"['best', 'smartphone', 'ever']",1
"['great', 'phone', 'great', 'feature', 'smooth', 'operation', 'really', 'love']",1
"['till', 'get', 'latest', 'android', 'update', 'rest', 'premium', 'device', 'universe', 'get', 'android', 'update', 'switch', 'iphone', 'plus', 'feel', 'total', 'disappoint', 'spend', 'much', 'money']",0
"['great', 'phone', 'samsung', 'beautiful', 'metal', 'frame', 'great', 'hardware', 'good', 'camera', 'quality', 'complain', 'heat', 'issue', 'might', 'check', 'product', 'replace', 'per', 'consideration', 'overheat', 'issue', 'phone']",1
"['aweome', 'feature', 'awesome', 'camera', 'solid', 'battery', 'power', 'awesome', 'stylus', 'feature', 'awesome', 'display', 'quality', 'awesome', 'process', 'speex', 'short', 'note', 'beat', 'note', 'rest', 'give', 'try']",1
